lemonade,limonata,noun,I drink,in summer
dessert,tatlı,noun,What's for,
pizza,pizza,noun,I really love,
pasta,makarna,noun,Cook the,carefully
soda,gazoz,noun,I drink,sometimes
yard,bahçe,noun,The big,is beautiful
slippers,terlik,noun,Wear your,at home
cushion,minder,noun,This soft,is comfortable
dining room,yemek odası,noun,We eat in the,
mat,paspas,noun,The dirty,needs cleaning
wall,duvar,noun,Paint the,white
dentist,dişçi,noun,Visit your,regularly
waiter,garson,noun,The kind,helped us
summer,yaz,noun,In,it's very hot
firefighter,itfaiyeci,noun,The brave,helped us
photographer,fotoğrafçı,noun,The professional,took pictures
a,bir,article,She is,teacher
about,hakkında,preposition,Tell me,the movie
above,üstünde,preposition,The picture is,the table
across,karşıdan karşıya,preposition,Walk,the street carefully
action,eylem,noun,That was a brave,
activity,etkinlik,noun,Swimming is a fun,
actor,aktör,noun,He is a famous,
actress,aktris,noun,She is a talented,
address,adres,noun,What is your home,
adult,yetişkin,noun,He is an,now
advice,tavsiye,noun,Thank you for your,
afraid,korkmuş,adjective,Don't be,of the dark
after,sonrasında,preposition,Come,dinner tonight
afternoon,öğleden sonra,noun,Good,everyone
again,tekrar,adverb,Say that,please
age,yaş,noun,What is your,
ago,evvel,adverb,I met him two years,
agree,kabul etmek,verb,I,with your idea
air,hava,noun,The,is fresh today
airport,havalimanı,noun,We arrived at the,early
all,tüm,determiner,I ate,the cookies
also,ayrıca,adverb,I,like chocolate
always,her zaman,adverb,She,arrives on time
amazing,inanılmaz,adjective,That was an,performance
and,ve,conjunction,I like apples,oranges
angry,sinirli,adjective,Why are you so,
animal,hayvan,noun,A dog is an,
another,bir diğer,determiner,Give me,chance please
answer,cevap,noun,I know the,to this question
any,herhangi,determiner,Do you have,questions
anyone,herhangi biri,pronoun,Is,home right now
anything,herhangi bir şey,pronoun,I don't want,else
apartment,daire,noun,She lives in a small,
apple,elma,noun,I eat an,every day
April,Nisan,noun,My birthday is in,
area,alan,noun,This,is very quiet
arm,kol,noun,She broke her,yesterday
around,etrafında,preposition,Walk,the park with me
arrive,varmak,verb,When will you,at the station
art,sanat,noun,I love modern,
article,makale,noun,I read an interesting,today
artist,sanatçı,noun,She is a wonderful,
as,gibi,preposition,He works,a teacher
at,de/da,preposition,I'm,home now
August,Ağustos,noun,School starts in,
aunt,hala,noun,My,lives in Istanbul
autumn,sonbahar,noun,The leaves fall in,
away,uzak,adverb,Please go,now
baby,bebek,noun,The,is sleeping
back,geri,noun,I'll be,soon
bad,kötü,adjective,That's a,idea
bag,çanta,noun,Put it in your,
ball,top,noun,Throw me the,
banana,muz,noun,I like eating,
band,müzik grubu,noun,My favorite,is playing tonight
bank,banka,noun,I need to go to the,
bath,banyo,noun,I need a hot,
bathroom,banyo,noun,Where is the,
beach,sahil,noun,Let's go to the,
beautiful,Güzel,adjective,What a,day
because,Çünkü,conjunction,I'm happy,it's Friday
become,haline gelmek,verb,She will,a doctor
bed,yatak,noun,Go to,early tonight
bedroom,yatak odası,noun,My,is upstairs
beer,bira,noun,He ordered a cold,
before,önce,preposition,Come,five o'clock
behind,arka,preposition,Stand,me please
below,altında,adverb,See the note,
best,en iyi,adjective,You are the,friend
better,daha iyi,adjective,This is,than that
between,arasında,preposition,Sit,your parents
bicycle,bisiklet,noun,I ride my,to school
big,büyük,adjective,This is a,house
bike,bisiklet,noun,Where is my,
bill,fatura,noun,Please pay the,
bird,kuş,noun,I saw a beautiful,
birthday,doğum günü,noun,Happy,to you
black,siyah,adjective,I like your,shoes
blog,blog,noun,I write a,every week
blonde,sarışın,adjective,She has, 
blue,mavi,adjective,The sky is,today
boat,tekne,noun,We sailed in a,
body,vücut,noun,Exercise is good for your,
book,kitap,noun,I'm reading a good,
boot,çizme,noun,Wear your,in winter
bored,sıkılmış,adjective,I'm so,right now
born,doğmak,verb,I was,in Turkey
both,ikisi birden,determiner,I like,options equally
bottle,şişe,noun,Open the,please
box,kutu,noun,Put it in the,
boy,erkek çocuk,noun,The little,is playing
boyfriend,erkek arkadaş,noun,This is my,
